45.15.170.209:8443#AL [201.8ms 0.13Mbps]
185.237.185.110:2053#LT [201.86ms 9.01Mbps]
5.45.117.125:443#EE [202.09ms 6.49Mbps]
152.53.67.107:443#AT [202.18ms 7.16Mbps]
45.148.31.73:443#DK [202.55ms 7.46Mbps]
193.180.212.103:443#DK [202.77ms 8.23Mbps]
94.176.235.22:443#LT [202.89ms 8.29Mbps]
185.119.117.146:8443#AT [203.14ms 7.83Mbps]
83.97.77.63:2053#KZ [203.15ms 2.37Mbps]
158.247.246.18:443#KR [203.48ms 7.3Mbps]
193.180.209.21:443#DK [204.22ms 8.4Mbps]
193.181.214.98:8443#DK [204.85ms 1.36Mbps]
93.85.88.60:2053#BY [205.34ms 2.17Mbps]
46.36.217.167:443#EE [206.58ms 0.0Mbps]
91.219.236.202:2053#HU [207.01ms 5.87Mbps]
176.97.74.51:2053#EE [207.1ms 6.56Mbps]
46.36.216.195:443#EE [207.87ms 7.86Mbps]
5.101.116.7:8443#EE [208.48ms 4.79Mbps]
185.80.128.115:8443#LT [208.77ms 0.01Mbps]
209.38.23.235:443#AU [208.93ms 4.19Mbps]
91.217.10.241:443#KZ [208.96ms 7.79Mbps]
51.161.196.38:443#AU [209.06ms 4.07Mbps]
38.180.230.178:443#EE [209.32ms 7.36Mbps]
194.156.103.36:2053#AM [209.91ms 6.43Mbps]
132.243.205.57:8443#IT [211.75ms 6.3Mbps]
193.180.215.69:443#DK [212.58ms 7.4Mbps]
77.91.72.13:443#HU [212.83ms 6.06Mbps]
94.131.117.210:443#ES [212.89ms 0.15Mbps]
94.131.123.173:443#TR [213.02ms 6.2Mbps]
194.71.227.213:443#BE [213.1ms 8.62Mbps]
132.243.205.81:8443#IT [213.22ms 6.99Mbps]
193.181.213.227:443#DK [213.35ms 7.02Mbps]
185.253.8.65:2053#KZ [214.8ms 6.4Mbps]
185.235.243.172:443#TR [214.97ms 0.05Mbps]
46.29.234.91:8443#LT [214.98ms 7.82Mbps]
216.238.82.140:8443#MX [215.12ms 3.69Mbps]
132.243.205.63:8443#IT [215.72ms 10.53Mbps]
45.15.160.220:443#RS [215.82ms 8.56Mbps]
209.38.82.114:443#AU [216.03ms 4.14Mbps]
185.237.185.182:2053#LT [216.15ms 7.63Mbps]
